customer_id,age,gender,location,tenure_months,contract,payment_method,paperless_billing,monthly_charges,total_charges,internet_service,online_security,tech_support,streaming_tv,streaming_movies,num_products,support_calls,complaints,satisfaction_score,churn
CUST00001,22,Male,Urban,17,One year,Bank transfer,1,65.52,1143.05,DSL,0,0,1,1,6,1,0,2,0
CUST00002,58,Male,Suburban,26,One year,Credit card,1,116.29,2986.2,DSL,0,0,1,1,5,1,1,4,0
CUST00003,52,Female,Suburban,62,Month-to-month,Bank transfer,1,30.97,1964.87,Fiber optic,1,1,1,1,3,0,1,5,0
CUST00004,40,Female,Urban,8,Month-to-month,Mailed check,1,76.8,532.89,No,0,1,0,1,2,2,0,2,1
CUST00005,40,Female,Urban,8,Month-to-month,Electronic check,1,54.13,428.12,DSL,0,1,1,1,5,4,0,4,1
CUST00006,62,Female,Urban,22,Month-to-month,Credit card,0,84.63,1860.15,Fiber optic,0,0,0,0,1,0,0,1,1
CUST00007,22,Male,Suburban,44,Month-to-month,Bank transfer,0,84.87,3758.3,No,1,1,1,1,1,2,0,3,0
CUST00008,54,Female,Suburban,59,Two year,Electronic check,1,44.06,2547.98,DSL,0,0,0,0,5,3,0,2,0
CUST00009,28,Female,Suburban,41,Month-to-month,Mailed check,0,98.58,3943.44,No,1,0,1,1,2,3,0,1,1
CUST00010,22,Male,Urban,36,Month-to-month,Mailed check,0,29.13,1057.24,No,0,1,1,1,1,0,0,2,0
CUST00011,45,Female,Urban,63,One year,Electronic check,0,101.81,6440.35,DSL,0,1,1,0,6,0,0,4,0
CUST00012,68,Male,Suburban,13,Month-to-month,Bank transfer,1,41.2,585.97,Fiber optic,0,1,0,0,4,2,0,1,1
CUST00013,56,Female,Urban,65,Month-to-month,Bank transfer,1,78.96,5114.47,DSL,0,1,1,0,5,3,1,3,0
CUST00014,57,Female,Suburban,23,Month-to-month,Electronic check,1,54.73,1297.57,Fiber optic,0,1,0,1,5,0,0,3,0
CUST00015,55,Female,Urban,20,Two year,Credit card,1,80.98,1643.89,No,0,1,0,1,5,1,0,2,0
CUST00016,58,Female,Urban,69,Month-to-month,Credit card,1,46.74,3291.18,DSL,1,1,1,1,5,2,2,3,1
CUST00017,44,Male,Suburban,47,One year,Electronic check,1,76.9,3611.53,No,0,1,0,1,5,5,0,4,0
CUST00018,24,Female,Urban,32,One year,Mailed check,0,20.82,579.75,No,0,1,1,0,4,4,0,5,0
CUST00019,61,Female,Suburban,24,Month-to-month,Credit card,1,57.45,1375.42,Fiber optic,0,1,1,0,1,1,0,3,1
CUST00020,41,Female,Urban,32,One year,Mailed check,0,102.64,3288.9,Fiber optic,1,1,1,1,5,2,1,3,0
CUST00021,44,Female,Rural,57,Month-to-month,Credit card,1,66.3,3805.01,DSL,0,0,0,1,3,3,1,2,0
CUST00022,37,Male,Suburban,12,Month-to-month,Electronic check,1,69.93,762.53,Fiber optic,1,1,1,0,4,1,0,4,1
CUST00023,27,Female,Rural,13,Month-to-month,Bank transfer,0,82.16,1052.48,DSL,1,0,0,1,2,1,0,2,0
CUST00024,66,Male,Suburban,22,Two year,Bank transfer,1,63.42,1438.65,DSL,0,1,1,1,5,4,0,4,0
CUST00025,58,Female,Suburban,35,Month-to-month,Mailed check,1,106.71,3729.65,DSL,0,1,1,1,5,5,0,5,1
CUST00026,51,Male,Suburban,59,Month-to-month,Bank transfer,1,60.33,3544.18,Fiber optic,1,0,1,0,4,3,0,3,1
CUST00027,38,Male,Urban,16,Two year,Electronic check,0,114.26,1923.48,DSL,1,1,0,1,2,0,0,2,0
CUST00028,60,Male,Urban,57,Month-to-month,Electronic check,0,107.69,6084.83,DSL,1,1,0,0,3,1,1,3,1
CUST00029,46,Female,Suburban,66,Two year,Electronic check,1,62.11,4160.92,Fiber optic,0,0,0,0,2,4,0,3,1
CUST00030,41,Male,Urban,32,One year,Electronic check,1,56.58,1861.62,DSL,0,1,0,0,4,1,2,2,0
CUST00031,41,Male,Urban,70,One year,Electronic check,0,87.66,6124.94,DSL,0,0,0,1,1,1,1,5,0
CUST00032,29,Female,Rural,65,One year,Mailed check,1,95.53,6207.81,DSL,0,1,1,1,3,1,0,1,1
CUST00033,22,Male,Urban,58,One year,Electronic check,1,38.59,2236.4,DSL,1,1,0,1,6,1,2,2,0
CUST00034,46,Male,Suburban,28,Month-to-month,Electronic check,0,44.1,1243.9,DSL,0,0,0,0,2,0,1,3,1
CUST00035,64,Male,Suburban,22,Two year,Electronic check,0,34.63,732.13,DSL,0,0,1,1,3,1,0,4,0
CUST00036,21,Male,Urban,63,Two year,Credit card,0,96.07,6031.0,Fiber optic,0,0,1,0,3,1,1,2,1
